Episode,Character,Type of appearance
1,Izuku Midoriya,Direct
1,Tsubasa,Flashback
1,Katsuki Bakugo,Direct
1,Giant Villain,Direct
1,Luminescent Baby,Flashback
1,All Might,Direct
1,Death Arms,Direct
1,Backdraft,Direct
1,Kamui Woods,Direct
1,Mt. Lady,Direct
1,Sludge Villain,Direct
1,Inko Midoriya,Flashback
1,Hisashi Midoriya,Mentioned
2,Izuku Midoriya,Direct
2,All Might,Direct
2,Sludge Villain,Direct
2,Katsuki Bakugo,Direct
2,All For One,Mentioned
2,Toxic Chainsaw,Mentioned
2,Death Arms,Direct
2,Slugger,Direct
2,Mt. Lady,Direct
2,Kamui Woods,Direct
2,Backdraft,Direct
2,Inko Midoriya,Flashback
3,All Might,Direct
3,Izuku Midoriya,Direct
3,Death Arms,Flashback
3,Slugger,Flashback
3,Katsuki Bakugo,Direct
3,Inko Midoriya,Direct
3,Sludge Villain,Mentioned
3,Ochaco Uraraka,Direct
3,Present Mic,Direct
3,Tenya Ida,Direct
4,All Might,Direct
4,Endeavor,Fantasy
4,Best Jeanist,Fantasy
4,Izuku Midoriya,Direct
4,Present Mic,Direct
4,Mezo Shoji,Direct
4,Yuga Aoyama,Direct
4,Ochaco Uraraka,Direct
4,Tenya Ida,Direct
4,Katsuki Bakugo,Direct
4,Nezu,Direct
4,Cementoss,Direct
4,Ectoplasm,Direct
4,Death Arms,Flashback
4,Slugger,Flashback
4,Sludge Villain,Flashback
4,Recovery Girl,Direct
4,Inko Midoriya,Direct
4,Tetsutetsu Tetsutetsu,Name
4,Eijiro Kirishima,Name
4,Ibara Shiozaki,Name
5,Ibara Shiozaki,Name
5,Itsuka Kendo,Name
5,Tetsutetsu Tetsutetsu,Name
5,Yosetsu Awase,Name
5,Shota Aizawa,Direct
5,All Might,Direct
5,Izuku Midoriya,Direct
5,Inko Midoriya,Direct
5,Tenya Ida,Direct
5,Katsuki Bakugo,Direct
5,Eijiro Kirishima,Direct
5,Mina Ashido,Direct
5,Denki Kaminari,Direct
5,Hanta Sero,Direct
5,Yuga Aoyama,Direct
5,Mashirao Ojiro,Direct
5,Kyoka Jiro,Direct
5,Ochaco Uraraka,Direct
5,Shoto Todoroki,Direct
5,Koji Koda,Direct
5,Tsuyu Asui,Direct
5,Toru Hagakure,Direct
5,Fumikage Tokoyami,Direct
5,Rikido Sato,Direct
5,Minoru Mineta,Direct
5,Momo Yaoyorozu,Direct
5,Mezo Shoji,Direct
5,Sludge Villain,Flashback
5,Present Mic,Voice commentary only
6,Izuku Midoriya,Direct
6,Ochaco Uraraka,Direct
6,Yuga Aoyama,Direct
6,Tenya Ida,Direct
6,Katsuki Bakugo,Direct
6,Shota Aizawa,Direct
